transaction_id,estate,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
151,city_one_shatin,2,16,A,6,451,6050000,13415,2023-01-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
152,city_one_shatin,2,16,D,6,327,5400000,16514,2022-06-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
153,city_one_shatin,2,16,F,6,451,7000000,15521,2020-09-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
154,city_one_shatin,2,16,G,6,327,4350000,13303,2025-12-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
155,city_one_shatin,2,16,H,6,327,5650000,17278,2020-03-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
156,city_one_shatin,2,16,B,7,451,5160000,11441,2024-09-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
157,city_one_shatin,2,16,F,7,451,6000000,13304,2026-03-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
158,city_one_shatin,2,16,H,7,327,4630000,14159,2022-10-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
159,city_one_shatin,2,16,A,8,451,7360000,16319,2018-06-06,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
160,city_one_shatin,2,16,G,8,327,4280000,13089,2024-10-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
161,city_one_shatin,2,16,H,8,327,4680000,14312,2026-06-05,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
162,city_one_shatin,2,16,A,9,451,6130000,13592,2026-04-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
163,city_one_shatin,2,16,B,9,451,7220000,16009,2020-05-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
164,city_one_shatin,2,16,C,9,327,5510000,16850,2020-02-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-2/blockno-16,
