transaction_id,estate,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
285,city_one_shatin,30,5,327,39,2022-04-11,5200000,4096073
286,city_one_shatin,30,6,451,39,2022-04-29,6930000,5458804
287,city_one_shatin,30,6,451,42,2025-02-14,5325000,5580516
288,city_one_shatin,30,6,327,42,2025-09-10,5000000,5122450
289,city_one_shatin,30,7,451,38,2021-11-01,3250000,2625605
290,city_one_shatin,30,7,327,38,2021-04-08,5300000,4234097
291,city_one_shatin,30,7,327,40,2023-11-01,4100000,4008900
292,city_one_shatin,30,9,327,42,2025-10-31,4200000,4345582
293,city_one_shatin,30,9,451,36,2019-02-15,6000000,5288810
294,city_one_shatin,30,9,451,40,2023-03-03,5400000,4737922
295,city_one_shatin,30,9,327,42,2025-06-19,3980000,4161124
296,city_one_shatin,30,11,451,40,2023-10-25,5880000,5705105
297,city_one_shatin,30,12,327,37,2020-10-12,5500000,4540617
298,city_one_shatin,30,12,451,39,2022-11-07,986000,894652
299,city_one_shatin,30,13,451,40,2023-09-25,5900000,5600870
300,city_one_shatin,30,13,451,37,2020-11-24,7280000,5928987
301,city_one_shatin,30,13,327,40,2023-11-21,4260000,4165345
302,city_one_shatin,30,14,327,43,2026-06-24,4920000,4709369
303,city_one_shatin,30,14,327,37,2020-07-29,5780000,4770983
304,city_one_shatin,30,15,451,41,2024-07-18,2980000,3004906
305,city_one_shatin,30,15,451,37,2020-04-20,7280000,6165276
306,city_one_shatin,30,15,327,35,2018-02-22,5300000,4915018
307,city_one_shatin,30,15,327,38,2021-12-09,5730000,4647900
308,city_one_shatin,30,16,451,39,2022-06-16,7250000,5974665
309,city_one_shatin,30,16,327,42,2025-10-08,4310000,4459394
310,city_one_shatin,30,17,451,39,2022-06-30,7000000,5768642
311,city_one_shatin,30,17,327,35,2018-06-07,5900000,5010870
312,city_one_shatin,30,17,327,41,2024-10-22,3500000,3500032
313,city_one_shatin,30,18,327,39,2022-12-08,4950000,4513024
314,city_one_shatin,30,19,451,42,2025-03-31,5000000,5386480
315,city_one_shatin,30,20,327,41,2024-10-14,2300000,2300021
316,city_one_shatin,30,21,327,43,2026-06-29,4689000,4488258
317,city_one_shatin,30,22,327,37,2020-09-17,5650000,4614063
318,city_one_shatin,30,22,451,40,2023-12-15,5650000,5474802
319,city_one_shatin,30,22,327,41,2024-01-19,4688000,4556811
320,city_one_shatin,30,23,451,42,2025-04-08,5350000,5725838
321,city_one_shatin,30,23,451,37,2020-04-23,7680000,6504027
322,city_one_shatin,30,23,327,40,2023-09-12,4900000,4651570
323,city_one_shatin,30,24,327,40,2023-10-30,4300000,4172100
324,city_one_shatin,30,25,327,42,2025-05-21,3850000,4056167
325,city_one_shatin,30,27,451,38,2021-01-12,7750000,6347328
326,city_one_shatin,30,27,327,36,2019-04-12,5500000,4721443
327,city_one_shatin,30,27,327,37,2020-08-17,5960000,4925288
328,city_one_shatin,30,27,327,35,2018-06-19,5400000,4586220
329,city_one_shatin,30,28,327,41,2024-10-28,4250000,4250039
330,city_one_shatin,30,28,327,37,2020-02-13,5910000,5053957
331,city_one_shatin,30,29,327,35,2018-02-02,5300000,4915018
332,city_one_shatin,30,30,451,41,2024-08-21,6220000,6485570
333,city_one_shatin,37,3,284,34,2019-02-27,4260000,3755055
334,city_one_shatin,37,3,284,35,2020-05-18,4990000,4062358
335,city_one_shatin,37,3,284,33,2018-02-27,5168000,4792606
336,city_one_shatin,37,3,304,34,2019-05-24,4700000,3998233
337,city_one_shatin,37,3,304,35,2020-06-30,5300000,4411286
338,city_one_shatin,37,4,284,39,2024-04-08,4100000,3999170
339,city_one_shatin,37,5,284,35,2020-05-18,5250000,4274024
340,city_one_shatin,37,5,304,33,2018-07-17,5280000,4550848
341,city_one_shatin,37,6,284,38,2023-09-07,4500000,4271850
342,city_one_shatin,37,6,284,38,2023-02-10,4300000,3758250
343,city_one_shatin,37,6,284,33,2018-10-26,6000000,5739112
344,city_one_shatin,37,6,304,37,2022-10-11,4500000,3958563
345,city_one_shatin,37,7,284,35,2020-08-04,5300000,4379871
346,city_one_shatin,37,7,284,34,2019-02-26,4940000,4354453
347,city_one_shatin,37,7,284,40,2025-12-12,3930000,4002388
348,city_one_shatin,37,7,284,37,2022-07-08,5250000,4475656
349,city_one_shatin,37,7,304,37,2022-12-05,4080000,3719826
350,city_one_shatin,37,8,304,36,2021-07-06,5330000,4158202
351,city_one_shatin,37,9,284,37,2022-11-24,4450000,4037731
352,city_one_shatin,37,9,304,41,2026-06-29,4460000,4269062
353,city_one_shatin,37,10,284,40,2025-05-30,3800000,4003489
354,city_one_shatin,37,10,304,36,2021-11-24,5500000,4443332
355,city_one_shatin,37,10,284,37,2022-06-09,5250000,4326482
356,city_one_shatin,37,10,304,35,2020-03-18,5590000,4679739
357,city_one_shatin,37,11,284,33,2018-02-08,4860000,4506979
358,city_one_shatin,37,11,304,35,2020-12-10,5700000,4709679
359,city_one_shatin,37,11,304,38,2023-11-29,4180000,4087123
360,city_one_shatin,37,11,284,35,2020-09-17,5100000,4164906
361,city_one_shatin,37,11,284,40,2025-10-02,3820000,3952410
362,city_one_shatin,37,11,304,35,2020-05-06,5380000,4379857
363,city_one_shatin,37,12,284,33,2018-05-11,5330000,4731228
364,city_one_shatin,37,12,304,41,2026-03-02,4418000,4202877
365,city_one_shatin,37,12,284,35,2020-02-17,5260000,4498108
366,city_one_shatin,37,13,304,37,2022-09-16,5120000,4441380
367,city_one_shatin,37,13,284,39,2024-07-31,4340000,4376272
368,city_one_shatin,37,13,304,39,2024-09-27,4068000,4276073
369,city_one_shatin,37,14,284,41,2026-05-26,4550000,4128844
370,city_one_shatin,37,14,304,34,2019-06-25,5600000,4932285
371,city_one_shatin,37,14,304,36,2021-04-16,5500000,4393874
372,city_one_shatin,37,14,304,41,2026-02-24,4395000,4259247
373,city_one_shatin,37,15,284,36,2021-05-26,5450000,4379761
374,city_one_shatin,37,15,304,35,2020-09-14,5490000,4483399
375,city_one_shatin,37,15,304,39,2024-05-02,4238000,4298121
376,city_one_shatin,37,16,284,40,2025-04-25,4150000,4441538
377,city_one_shatin,37,16,304,38,2023-02-15,5180000,4527380
378,city_one_shatin,37,17,284,37,2022-02-04,5250000,4196944
379,city_one_shatin,37,17,284,36,2021-09-08,5510000,4483186
380,city_one_shatin,37,18,284,36,2021-09-24,5680000,4621506
381,city_one_shatin,37,18,284,34,2019-03-14,4800000,4213076
382,city_one_shatin,37,18,304,39,2024-05-14,3700000,3752489
383,city_one_shatin,37,18,304,33,2018-09-03,5600000,5174175
384,city_one_shatin,37,18,284,41,2026-02-26,4000000,3876447
385,city_one_shatin,37,18,304,36,2021-11-22,5690000,4596829
386,city_one_shatin,37,19,284,35,2020-08-20,5200000,4297232
387,city_one_shatin,37,19,304,37,2022-04-22,5750000,4529311
388,city_one_shatin,37,19,304,36,2021-03-18,5650000,4501534
389,city_one_shatin,37,20,304,39,2024-06-18,4410000,4378914
390,city_one_shatin,37,20,284,33,2018-10-30,896000,857041
391,city_one_shatin,37,20,304,38,2023-01-18,4580000,4058364
392,city_one_shatin,37,21,284,33,2018-01-08,4820000,4567455
393,city_one_shatin,37,21,284,33,2018-04-24,5180000,4739362
394,city_one_shatin,37,21,284,40,2025-08-12,4000000,4258859
395,city_one_shatin,37,21,304,35,2020-03-02,3750000,3139360
396,city_one_shatin,37,22,304,36,2021-06-29,2000000,1570129
397,city_one_shatin,37,22,304,41,2026-05-19,4690000,4255885
398,city_one_shatin,37,23,284,35,2020-06-04,5700000,4744213
399,city_one_shatin,37,23,304,37,2022-11-07,4800000,4355305
400,city_one_shatin,37,23,284,41,2026-02-09,4268000,4136169
401,city_one_shatin,37,23,304,34,2019-08-21,5900000,5258931
402,city_one_shatin,37,23,304,35,2020-02-26,5200000,4446798
403,city_one_shatin,37,24,284,40,2025-07-23,3920000,4064185
404,city_one_shatin,37,25,284,35,2020-07-10,5450000,4498592
405,city_one_shatin,37,25,304,35,2020-10-08,5290000,4367248
406,city_one_shatin,37,26,284,36,2021-02-26,5600000,4526897
407,city_one_shatin,37,26,304,40,2025-06-17,3800000,3972932
408,city_one_shatin,37,26,284,37,2022-01-21,5540000,4487188
409,city_one_shatin,37,26,304,36,2021-03-17,5600000,4461698
410,city_one_shatin,37,27,304,33,2018-03-06,5420000,5088116
411,city_one_shatin,37,28,304,39,2024-12-03,4168000,4303795
412,city_one_shatin,37,28,304,36,2021-09-07,5850000,4759825
413,city_one_shatin,37,28,284,41,2026-05-06,4500000,4083472
414,city_one_shatin,37,29,304,39,2024-12-02,4150000,4285209
415,city_one_shatin,37,29,284,34,2019-03-13,5020000,4406175
416,city_one_shatin,37,29,304,37,2022-10-31,4800000,4222467
