transaction_id,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
336,37,31,284,38,2023-06-15,4800000,4324150
337,37,30,304,35,2020-06-23,5800000,4827445
338,37,30,304,34,2019-10-30,5350000,4675775
339,37,29,304,39,2024-12-02,4150000,4285209
340,37,29,284,34,2019-03-13,5020000,4406175
341,37,29,304,37,2022-10-31,4800000,4222467
342,37,28,304,39,2024-12-03,4168000,4303795
343,37,28,304,36,2021-09-07,5850000,4759825
344,37,28,284,41,2026-05-06,4500000,4083472
345,37,27,304,33,2018-03-06,5420000,5088116
346,37,26,284,36,2021-02-26,5600000,4526897
347,37,26,304,40,2025-06-17,3800000,3972932
348,37,26,284,37,2022-01-21,5540000,4487188
349,37,26,304,36,2021-03-17,5600000,4461698
350,37,25,284,35,2020-07-10,5450000,4498592
351,37,25,304,35,2020-10-08,5290000,4367248
352,37,24,284,40,2025-07-23,3920000,4064185
353,37,23,284,35,2020-06-04,5700000,4744213
354,37,23,304,37,2022-11-07,4800000,4355305
355,37,23,284,41,2026-02-09,4268000,4136169
356,37,23,304,34,2019-08-21,5900000,5258931
357,37,23,304,35,2020-02-26,5200000,4446798
358,37,22,304,36,2021-06-29,2000000,1570129
359,37,22,304,41,2026-05-19,4690000,4255885
360,37,21,284,33,2018-01-08,4820000,4567455
361,37,21,284,33,2018-04-24,5180000,4739362
362,37,21,284,40,2025-08-12,4000000,4258859
363,37,21,304,35,2020-03-02,3750000,3139360
364,37,20,304,39,2024-06-18,4410000,4378914
365,37,20,284,33,2018-10-30,896000,857041
366,37,20,304,38,2023-01-18,4580000,4058364
367,37,19,284,35,2020-08-20,5200000,4297232
368,37,19,304,37,2022-04-22,5750000,4529311
369,37,19,304,36,2021-03-18,5650000,4501534
370,37,18,284,36,2021-09-24,5680000,4621506
371,37,18,284,34,2019-03-14,4800000,4213076
372,37,18,304,39,2024-05-14,3700000,3752489
373,37,18,304,33,2018-09-03,5600000,5174175
374,37,18,284,41,2026-02-26,4000000,3876447
375,37,18,304,36,2021-11-22,5690000,4596829
376,37,17,284,37,2022-02-04,5250000,4196944
377,37,17,284,36,2021-09-08,5510000,4483186
378,37,16,284,40,2025-04-25,4150000,4441538
379,37,16,304,38,2023-02-15,5180000,4527380
380,37,15,284,36,2021-05-26,5450000,4379761
381,37,15,304,35,2020-09-14,5490000,4483399
382,37,15,304,39,2024-05-02,4238000,4298121
383,37,14,284,41,2026-05-26,4550000,4128844
384,37,14,304,34,2019-06-25,5600000,4932285
385,37,14,304,36,2021-04-16,5500000,4393874
386,37,14,304,41,2026-02-24,4395000,4259247
387,37,13,304,37,2022-09-16,5120000,4441380
388,37,13,284,39,2024-07-31,4340000,4376272
389,37,13,304,39,2024-09-27,4068000,4276073
390,37,12,284,33,2018-05-11,5330000,4731228
391,37,12,304,41,2026-03-02,4418000,4202877
392,37,12,284,35,2020-02-17,5260000,4498108
393,37,11,284,33,2018-02-08,4860000,4506979
394,37,11,304,35,2020-12-10,5700000,4709679
395,37,11,304,38,2023-11-29,4180000,4087123
396,37,11,284,35,2020-09-17,5100000,4164906
397,37,11,284,40,2025-10-02,3820000,3952410
398,37,11,304,35,2020-05-06,5380000,4379857
399,37,10,284,40,2025-05-30,3800000,4003489
400,37,10,304,36,2021-11-24,5500000,4443332
401,37,10,284,37,2022-06-09,5250000,4326482
402,37,10,304,35,2020-03-18,5590000,4679739
403,37,9,284,37,2022-11-24,4450000,4037731
404,37,9,304,41,2026-06-29,4460000,4269062
405,37,8,304,36,2021-07-06,5330000,4158202
406,37,7,284,35,2020-08-04,5300000,4379871
407,37,7,284,34,2019-02-26,4940000,4354453
408,37,7,284,40,2025-12-12,3930000,4002388
409,37,7,284,37,2022-07-08,5250000,4475656
410,37,7,304,37,2022-12-05,4080000,3719826
411,37,6,284,38,2023-09-07,4500000,4271850
412,37,6,284,38,2023-02-10,4300000,3758250
413,37,6,284,33,2018-10-26,6000000,5739112
414,37,6,304,37,2022-10-11,4500000,3958563
415,37,5,284,35,2020-05-18,5250000,4274024
