PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
12-2006,44724,,31369,,27847,,53369,,37533,,30366,,69144,,57425,,40836,,86343,,69964,,54012,,111958,,104510,Z,57550,
01-2007,45487,,31921,,28675,,53951,,39581,,30963,,73518,,61864,,39076,,89230,,81801,,48728,,114400,,105955,Z,70225,
02-2007,46131,,32196,,29940,,55735,,43605,,32042,,76990,,64523,,40631,,90503,,78097,,58112,,126550,,112314,Z,58852,
03-2007,46548,,33719,,30960,,54451,,41294,,31687,,75657,,58256,,41912,,91840,,79365,,55463,,131295,,71164,Z,70206,
04-2007,48101,,33602,,30971,,55472,,41009,,32166,,77098,,60684,,42808,,97791,,81943,,55043,,141108,,95015,Z,63648,
05-2007,49843,,34579,,30891,,58002,,42233,,32418,,78897,,62055,,43594,,98097,,76998,,56925,,144810,,99535,Z,54231,
06-2007,50808,,35040,,30805,,59188,,43184,,32304,,80239,,67900,,40683,,101244,,89175,,53919,,130287,,136530,Z,57718,
07-2007,49818,,35832,,31695,,59457,,46256,,32487,,77469,,65829,,43130,,102538,,78143,,47355,,138041,,123192,Z,62644,
08-2007,51374,,36519,,32026,,59957,,46699,,33326,,84518,,73175,,43919,,113279,,90209,,54822,,158075,,156012,Z,64573,
09-2007,51438,,37749,,32273,,61533,,46721,,34198,,83601,,73301,,44401,,109693,,82724,,56898,,157125,,114845,Z,69814,
10-2007,54015,,39447,,33540,,64277,,51867,,35858,,87454,,86771,,46252,,113689,,110411,,60176,,161014,,133925,Z,86415,
11-2007,60085,,41770,,35375,,69901,,55676,,37441,,89869,,93994,,48866,,123380,,117816,,61584,,181793,,134358,Z,79362,
12-2007,62373,,43255,,36333,,73813,,57823,,38050,,99455,,95831,,48677,,126421,,108668,,59938,,195632,,168199,Z,80439,
01-2008,65273,,44018,,38869,,76881,,58834,,39342,,99481,,95147,,50514,,124966,,105006,,57310,,177232,,104657,Z,88253,
02-2008,67910,,43820,,38802,,78022,,59054,,38551,,109533,,95727,,47535,,128075,,101869,,67761,,195157,Z,137096,Z,77841,
03-2008,68226,,42680,,38314,,76791,,54128,,37217,,98445,,90484,,48614,,125055,,101729,,64327,,165690,,160841,Z,77025,
04-2008,65776,,43081,,37205,,75849,,52178,,37120,,98552,,75349,,47148,,128765,,96136,,59546,,187962,Z,140866,Z,73982,
05-2008,66992,,44359,,38775,,75716,,53940,,39911,,104296,,85383,,50097,,140673,,102186,,63289,,178007,,157255,Z,72070,
06-2008,65976,,44858,,38257,,75729,,54197,,39721,,98765,,81110,,49708,,132030,,121070,,61911,,201296,Z,122304,Z,91795,Z
07-2008,63839,,42399,,37842,,72186,,50088,,38350,,101133,,82631,,49316,,130700,,111414,,56010,,149052,Z,164432,Z,51503,Z
08-2008,60337,,41902,,38200,,68647,,52038,,38442,,87902,,74252,,49578,,122590,,108836,,55719,,179671,Z,157871,Z,70409,
09-2008,59021,,43326,,37532,,69990,,52359,,38904,,93276,,74262,,49927,,114995,,109030,,47325,,201519,Z,164244,Z,65029,Z
10-2008,57648,,41444,,35147,,61541,,48655,,37071,,79791,,68863,,45320,,106310,,91941,Z,52323,,165696,Z,139277,Z,42687,Z
11-2008,48596,,37576,,33873,,57955,,46520,,34240,,71386,,73688,,46956,,95906,,85605,,50340,,138695,Z,196860,Z,53895,Z
12-2008,50641,,38305,,33582,,58238,,47213,,35192,,83329,,68713,,43907,,97103,,87092,,51036,,140295,,91905,Z,59420,Z
01-2009,52222,,39222,,34723,,61526,,47605,,36017,,78132,,75384,,44531,,106691,,91833,,48319,,136752,,120707,Z,68498,Z
02-2009,51852,,36104,,35128,,61220,,44402,,36127,,82107,,69153,,45405,,103114,,83189,,52206,,144451,Z,120542,Z,65226,Z
03-2009,51690,,38051,,35542,,62341,,47499,,36108,,81119,,74127,,44910,,109172,,91190,,49504,,142134,,137132,Z,54295,
04-2009,55885,,40829,,37352,,67255,,53430,,38526,,85829,,81015,,46799,,110045,,96233,,53439,,146239,,108341,Z,64949,
05-2009,58307,,42204,,37498,,69097,,53420,,38463,,93817,,80005,,48234,,108973,,98050,,59820,,162999,,154404,Z,68205,
06-2009,61973,,44292,,38649,,71654,,56655,,39514,,94654,,90489,,49033,,121738,,95709,,61916,,172630,,147726,Z,71178,
07-2009,62942,,45117,,39306,,72654,,55647,,39862,,95671,,79531,,48441,,120894,,106262,,61207,,155916,,128743,Z,73623,
08-2009,65105,,46619,,40905,,74816,,59194,,40473,,102585,,99006,,49990,,130234,,112385,,56010,,171402,,158375,Z,65636,
09-2009,65886,,47316,,40719,,78060,,59299,,41019,,104660,,90432,,50152,,128920,,114099,,61099,,181905,,144074,Z,78109,
10-2009,66375,,47836,,40662,,77133,,57780,,40965,,103617,,89809,,52500,,132266,,113723,,58412,,191615,,158421,Z,71421,
11-2009,67497,,47260,,41732,,76460,,55968,,40883,,105437,,85511,,54337,,132046,,91283,,56809,,177491,Z,189760,Z,55637,
12-2009,67902,,50165,,42951,,76992,,63755,,42098,,103256,,99193,,53097,,129544,,108893,,61169,,184254,,155074,Z,79797,
01-2010,69915,,51567,,44673,,80597,,65239,,43682,,105598,,96843,,55093,,144721,,121546,,58516,,198436,,162285,Z,79276,
02-2010,71338,,52695,,44597,,83889,,66508,,43362,,109116,,100676,,54136,,131446,,119289,,60479,,198954,Z,137882,Z,76369,
03-2010,73059,,52851,,44622,,82777,,66420,,44632,,118839,,109062,,55059,,152694,,155441,,61397,,195281,,163589,Z,79752,
04-2010,73358,,53473,,45827,,83377,,66333,,44859,,111255,,102549,,56409,,134693,,134748,,59717,,208230,,149217,Z,67390,
05-2010,71391,,52676,,45639,,82166,,65119,,44410,,106500,,98291,,55957,,141382,,117777,,66258,,210813,,122352,Z,59079,
06-2010,73768,,54030,,48242,,84890,,67813,,47301,,112683,,95477,,58694,,150137,,128007,,70289,,182260,,166754,Z,74769,
07-2010,75519,,57136,,49510,,86947,,72096,,49260,,111011,,104119,,61634,,143810,,134116,,67644,,209790,,118835,Z,94336,
08-2010,77872,,57291,,49225,,86904,,71032,,48277,,115850,,105614,,61666,,146137,,143963,,69996,,237013,,225751,Z,60567,
09-2010,78139,,56085,,48389,,89152,,73491,,47282,,112005,,116809,,61495,,153345,,138200,,69174,,236488,,179192,Z,72536,
10-2010,81186,,59197,,51192,,92810,,72045,,49677,,112177,,121130,,63056,,157443,,146782,,71161,,207071,,188902,Z,73163,
11-2010,82571,,60529,,52445,,94796,,75429,,50752,,121249,,125738,,63230,,163083,,133154,,72200,,204376,,191906,Z,90315,
12-2010,83589,,60213,,53545,,91947,,76007,,51522,,121481,,131466,,62586,,174483,,132642,,68146,,191134,,113496,Z,65137,Z
01-2011,88425,,64593,,55872,,96477,,82704,,55145,,130410,,118561,,65839,,158303,,146748,,66428,,237098,,190591,Z,74493,
02-2011,93341,,67086,,56885,,99258,,84776,,55747,,133380,,131526,,65710,,152864,,159514,,73155,,210663,Z,202466,Z,85232,Z
03-2011,92831,,66806,,56940,,101002,,81550,,55104,,137085,,124898,,65728,,167920,,158064,,70720,,182967,,216708,Z,85517,
04-2011,95691,,67904,,58902,,102970,,82955,,55733,,139142,,112319,,67110,,170336,,153754,,82121,,258736,,235508,Z,88344,
05-2011,94814,,68927,,60012,,107177,,82780,,58009,,144823,,134173,,70613,,176320,,151740,,77717,,231142,Z,245456,Z,95354,
06-2011,95488,,70519,,59881,,107161,,83304,,57990,,145168,,133438,,71792,,174304,,146017,,73256,,268083,,177168,Z,96144,
07-2011,92824,,66975,,58981,,102284,,79168,,55907,,134378,,128527,,68837,,183469,,174554,Z,66047,,193049,Z,342055,Z,84732,Z
08-2011,93635,,68806,,60696,,104662,,79253,,58198,,136641,,109140,,69884,,176233,,195190,,77204,,205358,Z,-,,67890,Z
09-2011,95689,,69855,,60330,,105277,,84100,,59065,,132001,,118561,,73209,,163531,,158867,,66970,,190163,Z,235128,Z,72685,
10-2011,92908,,67061,,57048,,98360,,78920,,56175,,130082,,126239,,69378,,163511,,142576,Z,74351,,313450,Z,173473,Z,63328,
11-2011,96360,,67230,,55957,,102518,,79009,,54988,,124811,,125456,,66533,,181435,Z,144605,,77990,,247469,Z,91343,Z,61234,
12-2011,93517,,66898,,56499,,100361,,77573,,53632,,125885,,108406,,65970,,169277,,136307,,67306,,285817,Z,210174,Z,50456,Z
01-2012,92928,,65076,,57524,,95206,,75947,,55231,,128038,,127677,,67404,,158283,,145338,Z,74922,,292150,Z,153410,Z,49725,Z
02-2012,95270,,71628,,61181,,102189,,84485,,58477,,133179,,117862,,69854,,177238,,132584,,73322,,230705,Z,150361,Z,91779,Z
03-2012,102550,,75411,,63080,,105256,,89631,,61635,,138376,,117611,,70739,,166452,,149921,,76562,,250319,,164195,Z,88760,
04-2012,104518,,77571,,64259,,108551,,88755,,63293,,135609,,130967,,69933,,170654,,159440,,75893,,282049,Z,204536,Z,75099,
05-2012,108161,,79167,,65140,,111484,,91668,,64245,,139791,,124308,,73507,,176216,,170258,,72279,,251057,,182059,Z,103844,
06-2012,105379,,76989,,64492,,113009,,86844,,62143,,144354,,116708,,73187,,180040,,175430,,73966,,297755,Z,167328,Z,78474,Z
07-2012,107276,,81935,,68493,,112207,,91613,,65386,,148644,,132535,,74050,,175711,,170225,,80398,,255160,Z,163129,Z,88902,Z
08-2012,111814,,83444,,72262,,113685,,97769,,68879,,141634,,130654,,78488,,174984,,160872,,78072,,239140,Z,221003,Z,96112,
09-2012,115716,,85739,,74303,,121559,,99672,,70572,,146293,,133996,,79064,,177827,,141405,,82393,,285088,Z,187224,Z,92507,
10-2012,118979,,88110,,75941,,123103,,104374,,73025,,154398,,141311,,81989,,194865,,173608,,78085,,254693,,190350,Z,96242,
11-2012,123635,,89868,,76292,,121413,,103466,,70242,,156101,,144279,,84442,,190642,,156313,,73163,,269236,Z,323001,Z,79906,Z
12-2012,117962,,87584,,77686,,124757,,101276,,71205,,149490,,133071,,84645,,180839,,165250,Z,78522,,217475,Z,224366,Z,85676,Z
01-2013,123192,,92438,,82847,,126158,,108264,,75067,,153218,,149171,,83541,,178780,,152915,,78000,,248630,Z,203404,Z,97895,Z
02-2013,127260,,94229,,81866,,131670,,108317,,77087,,162933,,147958,,84870,,190843,,156977,,73659,,264174,Z,192667,Z,75015,Z
03-2013,126360,,92668,,84035,,128570,,107876,,74210,,162303,,131275,,84495,,182857,Z,159528,,81280,,-,,153740,Z,108811,Z
04-2013,121604,,92540,,80478,,123937,,93734,,71563,,152579,,139021,,86166,,166042,Z,138756,Z,87397,,250478,Z,197178,Z,77367,Z
05-2013,123554,,96811,,83010,,125464,,105313,,76307,,164125,,128721,,84331,,197464,,161646,Z,89953,,220589,Z,203923,Z,67534,Z
06-2013,122682,,96937,,84319,,127009,,104344,,77651,,159279,,135479,,88269,,184068,,144914,,75806,,264974,Z,220015,Z,52845,
